overlap,residual,model_nickname,data_description,crepe_prefix,crepe_basename,dataset_name,bce_loss
0.9766538675235268,0.0060653806211275,dnsm_wig_1m-v1tang50k-joint,v1tang50k,trained_models/dnsm_wig_1m-v1tang50k-joint,dnsm_wig_1m-v1tang50k-joint,v1tang50k,0.1102289855480194
0.975245460900134,0.0072072618176877,dnsm_wig_1m-v1tang50k-joint,v1rodriguez,trained_models/dnsm_wig_1m-v1tang50k-joint,dnsm_wig_1m-v1tang50k-joint,v1rodriguez,0.1456603854894638
0.9781632485624424,0.0053124647093485,dnsm_wig_1m-v1tang-joint,v1tang50k,trained_models/dnsm_wig_1m-v1tang-joint,dnsm_wig_1m-v1tang-joint,v1tang50k,0.1097821667790412
0.9785313173172316,0.0060674400626483,dnsm_wig_1m-v1tang-joint,v1rodriguez,trained_models/dnsm_wig_1m-v1tang-joint,dnsm_wig_1m-v1tang-joint,v1rodriguez,0.1439272314310073
0.9776741749797178,0.0054421769989991,dnsm_wig_1m-v1wyatt+v1tang-joint,v1tang50k,trained_models/dnsm_wig_1m-v1wyatt+v1tang-joint,dnsm_wig_1m-v1wyatt+v1tang-joint,v1tang50k,0.1098276302218437
0.9798953773864344,0.0057639635953348,dnsm_wig_1m-v1wyatt+v1tang-joint,v1rodriguez,trained_models/dnsm_wig_1m-v1wyatt+v1tang-joint,dnsm_wig_1m-v1wyatt+v1tang-joint,v1rodriguez,0.1435926705598831
0.9776447466973246,0.0057414000323901,dnsm_wig_4m-v1tang50k-joint,v1tang50k,trained_models/dnsm_wig_4m-v1tang50k-joint,dnsm_wig_4m-v1tang50k-joint,v1tang50k,0.1099075525999069
0.97754480916774,0.0064842890522898,dnsm_wig_4m-v1tang50k-joint,v1rodriguez,trained_models/dnsm_wig_4m-v1tang50k-joint,dnsm_wig_4m-v1tang50k-joint,v1rodriguez,0.145748883485794
0.9784456675253828,0.0053201173972897,dnsm_wig_4m-v1tang-joint,v1tang50k,trained_models/dnsm_wig_4m-v1tang-joint,dnsm_wig_4m-v1tang-joint,v1tang50k,0.1096739992499351
0.979356332202744,0.0057919036679739,dnsm_wig_4m-v1tang-joint,v1rodriguez,trained_models/dnsm_wig_4m-v1tang-joint,dnsm_wig_4m-v1tang-joint,v1rodriguez,0.1439399719238281
0.9771874111504634,0.0055757176605917,dnsm_wig_4m-v1wyatt+v1tang-joint,v1tang50k,trained_models/dnsm_wig_4m-v1wyatt+v1tang-joint,dnsm_wig_4m-v1wyatt+v1tang-joint,v1tang50k,0.1098558008670806
0.9791781950426762,0.0060673010189922,dnsm_wig_4m-v1wyatt+v1tang-joint,v1rodriguez,trained_models/dnsm_wig_4m-v1wyatt+v1tang-joint,dnsm_wig_4m-v1wyatt+v1tang-joint,v1rodriguez,0.1436821520328521
