overlap,residual,model_nickname,data_description,crepe_prefix,crepe_basename,dataset_name,bce_loss
0.9227539655542916,0.0237488784000189,single-v1tang50k-joint,v1tang50k,trained_models/single-v1tang50k-joint,single-v1tang50k-joint,v1tang50k,0.1186570450663566
0.922252923714626,0.0248477395275702,single-v1tang50k-joint,v1rodriguez,trained_models/single-v1tang50k-joint,single-v1tang50k-joint,v1rodriguez,0.1546596586704254
0.928869634646711,0.0206952850397903,single-v1tang-joint,v1tang50k,trained_models/single-v1tang-joint,single-v1tang-joint,v1tang50k,0.1185603290796279
0.9361176073750602,0.0197834987912863,single-v1tang-joint,v1rodriguez,trained_models/single-v1tang-joint,single-v1tang-joint,v1rodriguez,0.1544301211833953
0.929401530514912,0.0204815080529022,single-v1wyatt+v1tang-joint,v1tang50k,trained_models/single-v1wyatt+v1tang-joint,single-v1wyatt+v1tang-joint,v1tang50k,0.118556872010231
0.937585534867964,0.0192507091493008,single-v1wyatt+v1tang-joint,v1rodriguez,trained_models/single-v1wyatt+v1tang-joint,single-v1wyatt+v1tang-joint,v1rodriguez,0.1544104665517807
0.9656373194289636,0.0096023837048295,dnsm_wig_13k-v1tang50k-joint,v1tang50k,trained_models/dnsm_wig_13k-v1tang50k-joint,dnsm_wig_13k-v1tang50k-joint,v1tang50k,0.1125550717115402
0.9668756421722724,0.0085269598174009,dnsm_wig_13k-v1tang50k-joint,v1rodriguez,trained_models/dnsm_wig_13k-v1tang50k-joint,dnsm_wig_13k-v1tang50k-joint,v1rodriguez,0.1467245221138
0.9738250015066556,0.0068410915556866,dnsm_wig_13k-v1tang-joint,v1tang50k,trained_models/dnsm_wig_13k-v1tang-joint,dnsm_wig_13k-v1tang-joint,v1tang50k,0.1115703806281089
0.9783536377788976,0.005694274302199,dnsm_wig_13k-v1tang-joint,v1rodriguez,trained_models/dnsm_wig_13k-v1tang-joint,dnsm_wig_13k-v1tang-joint,v1rodriguez,0.145426794886589
0.9692739491921388,0.0079551016166773,dnsm_wig_13k-v1wyatt+v1tang-joint,v1tang50k,trained_models/dnsm_wig_13k-v1wyatt+v1tang-joint,dnsm_wig_13k-v1wyatt+v1tang-joint,v1tang50k,0.1114938631653785
0.9745292535657042,0.0066416045246052,dnsm_wig_13k-v1wyatt+v1tang-joint,v1rodriguez,trained_models/dnsm_wig_13k-v1wyatt+v1tang-joint,dnsm_wig_13k-v1wyatt+v1tang-joint,v1rodriguez,0.1449521780014038
0.9707831390467896,0.0080500885369666,dnsm_wig_77k-v1tang50k-joint,v1tang50k,trained_models/dnsm_wig_77k-v1tang50k-joint,dnsm_wig_77k-v1tang50k-joint,v1tang50k,0.1117989420890808
0.9737056981454212,0.0068555929718068,dnsm_wig_77k-v1tang50k-joint,v1rodriguez,trained_models/dnsm_wig_77k-v1tang50k-joint,dnsm_wig_77k-v1tang50k-joint,v1rodriguez,0.1460705995559692
0.9781042089226836,0.005696236977507,dnsm_wig_77k-v1tang-joint,v1tang50k,trained_models/dnsm_wig_77k-v1tang-joint,dnsm_wig_77k-v1tang-joint,v1tang50k,0.1103129833936691
0.9786854777165022,0.0056938971465032,dnsm_wig_77k-v1tang-joint,v1rodriguez,trained_models/dnsm_wig_77k-v1tang-joint,dnsm_wig_77k-v1tang-joint,v1rodriguez,0.1440768092870712
0.976057961956742,0.0060783418840447,dnsm_wig_77k-v1wyatt+v1tang-joint,v1tang50k,trained_models/dnsm_wig_77k-v1wyatt+v1tang-joint,dnsm_wig_77k-v1wyatt+v1tang-joint,v1tang50k,0.1103780716657638
0.9790304124114222,0.0058879544099027,dnsm_wig_77k-v1wyatt+v1tang-joint,v1rodriguez,trained_models/dnsm_wig_77k-v1wyatt+v1tang-joint,dnsm_wig_77k-v1wyatt+v1tang-joint,v1rodriguez,0.1438247561454773
