abbrv_param_count,model,head_count,d_model_per_head,layer_count,parameters
1,single,0,0,0,1
140K,dnsm_sml,4,4,3,140209
1.6M,dnsm_lrg,8,4,5,1624481
13K,dnsm_13k,4,4,3,13489
20K,dnsm_20k,4,4,5,20049
52K,dnsm_52k,4,8,3,51553
77K,dnsm_77k,4,8,5,76961
1.2M,dnsm_1m,8,16,5,1192577
4.7M,dnsm_4m,8,32,5,4744449
7.1M,dnsm_7m,8,32,8,7113729
8.6M,dnsm_8m,20,16,6,8638081
281K,dnsm_bid_sml,4,4,3,280929
3.3M,dnsm_bid_lrg,8,4,5,3251009
27K,dnsm_bid_13k,4,4,3,27489
41K,dnsm_bid_20k,4,4,5,40609
105K,dnsm_bid_52k,4,8,3,105153
156K,dnsm_bid_77k,4,8,5,155969
2.4M,dnsm_bid_1m,8,16,5,2417921
9.6M,dnsm_bid_4m,8,32,5,9619969
14.4M,dnsm_bid_7m,8,32,8,14358529
17.5M,dnsm_bid_8m,20,16,6,17480961
